I, [2015-02-26T09:53:03.499169 #43302]  INFO -- default-centos-64: -----> Cleaning up any prior instances of <default-centos-64>
I, [2015-02-26T09:53:03.499315 #43302]  INFO -- default-centos-64: -----> Destroying <default-centos-64>...
I, [2015-02-26T09:53:03.502760 #43302]  INFO -- default-centos-64: Finished destroying <default-centos-64> (0m0.00s).
I, [2015-02-26T09:53:03.502961 #43302]  INFO -- default-centos-64: -----> Testing <default-centos-64>
I, [2015-02-26T09:53:03.503091 #43302]  INFO -- default-centos-64: -----> Creating <default-centos-64>...
I, [2015-02-26T09:53:07.576417 #43302]  INFO -- default-centos-64: Failed to set locale, defaulting to C
I, [2015-02-26T09:53:07.586569 #43302]  INFO -- default-centos-64: ??????????:fastestmirror
I, [2015-02-26T09:53:07.623928 #43302]  INFO -- default-centos-64: Loading mirror speeds from cached hostfile
I, [2015-02-26T09:53:09.437697 #43302]  INFO -- default-centos-64: epel/metalink                                            | 4.6 kB     00:00     
I, [2015-02-26T09:53:09.865887 #43302]  INFO -- default-centos-64:  * base: centos.mirror.secureax.com
I, [2015-02-26T09:53:09.866149 #43302]  INFO -- default-centos-64:  * epel: mirror.nus.edu.sg
I, [2015-02-26T09:53:09.866589 #43302]  INFO -- default-centos-64:  * extras: mirror.nus.edu.sg
I, [2015-02-26T09:53:09.866815 #43302]  INFO -- default-centos-64:  * updates: mirror.vodien.com
I, [2015-02-26T09:53:10.177934 #43302]  INFO -- default-centos-64: base                                                     | 3.7 kB     00:00     
I, [2015-02-26T09:53:15.183330 #43302]  INFO -- default-centos-64: base/group_gz          (0%) 12% [=-           ]  0.0 B/s |  27 kB     --:-- ETA base/group_gz          (0%) 17% [==           ]  15 kB/s |  39 kB     00:12 ETA base/group_gz          (0%) 37% [====-        ]  22 kB/s |  81 kB     00:06 ETA base/group_gz          (1%) 47% [======       ]  25 kB/s | 103 kB     00:04 ETA base/group_gz          (1%) 60% [=======-     ]  28 kB/s | 131 kB     00:03 ETA base/group_gz          (1%) 64% [========     ]  28 kB/s | 141 kB     00:02 ETA base/group_gz          (1%) 70% [=========    ]  28 kB/s | 153 kB     00:02 ETA base/group_gz          (1%) 78% [==========   ]  30 kB/s | 170 kB     00:01 ETA base/group_gz          (2%) 88% [===========- ]  32 kB/s | 192 kB     00:00 ETA base/group_gz          (2%) 99% [============-]  32 kB/s | 215 kB     00:00 ETA base/group_gz          (2%) 100% [============]  28 kB/s | 216 kB     00:00 ETA base/group_gz                                            | 216 kB     00:04     
